




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
proton-transporting ATP synthase complex (GO:0045259)	22	11	3.17	+	3.47	8.31E-05	5.24E-04
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	24	12	3.46	+	3.47	3.93E-05	2.63E-04
ESCRT complex (GO:0036452)	30	15	4.33	+	3.47	4.22E-06	3.37E-05
iron-sulfur cluster assembly complex (GO:1990229)	18	9	2.60	+	3.47	3.76E-04	2.14E-03
NuRD complex (GO:0016581)	16	8	2.31	+	3.47	8.06E-04	4.21E-03
CHD-type complex (GO:0090545)	16	8	2.31	+	3.47	8.06E-04	4.20E-03
peptidase complex (GO:1905368)	130	65	18.75	+	3.47	6.52E-22	1.40E-20
endoplasmic reticulum protein-containing complex (GO:0140534)	121	60	17.45	+	3.44	4.20E-20	8.23E-19
secretory granule lumen (GO:0034774)	326	159	47.01	+	3.38	5.20E-50	2.33E-48
postsynaptic cytosol (GO:0099524)	29	14	4.18	+	3.35	1.49E-05	1.08E-04
mRNA cleavage factor complex (GO:0005849)	29	14	4.18	+	3.35	1.49E-05	1.07E-04
vesicle lumen (GO:0031983)	332	160	47.88	+	3.34	1.94E-49	8.49E-48
U12-type spliceosomal complex (GO:0005689)	27	13	3.89	+	3.34	3.12E-05	2.13E-04
cytoplasmic vesicle lumen (GO:0060205)	331	159	47.74	+	3.33	6.73E-49	2.83E-47
cytoplasmic dynein complex (GO:0005868)	23	11	3.32	+	3.32	1.39E-04	8.50E-04
mitochondrial matrix (GO:0005759)	541	257	78.02	+	3.29	9.91E-78	6.25E-76
podosome (GO:0002102)	40	19	5.77	+	3.29	6.13E-07	5.55E-06
exocyst (GO:0000145)	17	8	2.45	+	3.26	1.33E-03	6.44E-03
membrane coat (GO:0030117)	96	45	13.84	+	3.25	2.76E-14	4.39E-13
coated membrane (GO:0048475)	96	45	13.84	+	3.25	2.76E-14	4.36E-13
extrinsic component of synaptic vesicle membrane (GO:0098850)	15	7	2.16	+	3.24	2.85E-03	1.26E-02
nuclear lamina (GO:0005652)	15	7	2.16	+	3.24	2.85E-03	1.26E-02
endoplasmic reticulum tubular network (GO:0071782)	30	14	4.33	+	3.24	2.42E-05	1.67E-04
low-density lipoprotein particle (GO:0034362)	15	7	2.16	+	3.24	2.85E-03	1.25E-02
RNAi effector complex (GO:0031332)	15	7	2.16	+	3.24	2.85E-03	1.25E-02
azurophil granule membrane (GO:0035577)	58	27	8.36	+	3.23	4.74E-09	5.11E-08
sperm end piece (GO:0097229)	58	27	8.36	+	3.23	4.74E-09	5.08E-08
vacuolar lumen (GO:0005775)	179	83	25.81	+	3.22	9.39E-25	2.20E-23
trans-Golgi network transport vesicle (GO:0030140)	39	18	5.62	+	3.20	2.05E-06	1.69E-05
cytochrome complex (GO:0070069)	39	18	5.62	+	3.20	2.05E-06	1.68E-05
DNA replication preinitiation complex (GO:0031261)	13	6	1.87	+	3.20	6.17E-03	2.46E-02
Swr1 complex (GO:0000812)	13	6	1.87	+	3.20	6.17E-03	2.45E-02
