




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
activin complex (GO:0048180)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF4 complex (GO:1990617)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interphase microtubule organizing center (GO:0031021)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear RNA-directed RNA polymerase complex (GO:0031380)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
multimerin complex (GO:1990972)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lateral plasma membrane (GO:0016328)	68	0	.07	-	 < 0.01	1.00E00	1.00E00
EMILIN complex (GO:1990971)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Slx1-Slx4 complex (GO:0033557)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
BORC complex (GO:0099078)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
apicolateral plasma membrane (GO:0016327)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear protein-containing complex (GO:0140513)	1292	0	1.26	-	 < 0.01	6.34E-01	1.00E00
Prp19 complex (GO:0000974)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
rDNA heterochromatin (GO:0033553)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrion-derived vesicle (GO:0099073)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
amylin receptor complex (GO:1903440)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
activin receptor complex (GO:0048179)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
multi-eIF complex (GO:0043614)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA-directed RNA polymerase complex (GO:0031379)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
Ino80 complex (GO:0031011)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
IRE1-TRAF2-ASK1 complex (GO:1990604)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center attachment site (GO:0034992)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
ISWI-type complex (GO:0031010)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
UBC13-MMS2 complex (GO:0031372)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme complex (GO:0031371)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
calcitonin family receptor complex (GO:1903439)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 4 complex (GO:0030289)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
dynein complex (GO:0030286)	54	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear replisome (GO:0043601)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium ion-transporting ATPase complex (GO:0031004)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule plus-end (GO:1904511)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
actin rod (GO:0031002)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hinge region between urothelial plaques of apical plasma membrane (GO:0120003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
apical plasma membrane urothelial plaque (GO:0120001)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CBM complex (GO:0032449)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
activin responsive factor complex (GO:0032444)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phagophore (GO:0061908)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
outer kinetochore (GO:0000940)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
cuticular plate (GO:0032437)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
Swi5-Sfr1 complex (GO:0032798)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosidase complex (GO:1902687)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
SMN complex (GO:0032797)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
Set3 complex (GO:0034967)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytolytic granule lumen (GO:1904856)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial endopeptidase Clp complex (GO:0009841)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inner kinetochore (GO:0000939)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
GARP complex (GO:0000938)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
taste receptor complex (GO:1903768)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sweet taste receptor complex (GO:1903767)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
P-body (GO:0000932)	100	0	.10	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin ring complex (GO:0000931)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin complex (GO:0000930)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
stereocilium tip (GO:0032426)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
super elongation complex (GO:0032783)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
stereocilium bundle (GO:0032421)	72	0	.07	-	 < 0.01	1.00E00	1.00E00
stereocilium (GO:0032420)	64	0	.06	-	 < 0.01	1.00E00	1.00E00
dendritic microtubule (GO:1901588)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RNAi effector complex (GO:0031332)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
PET complex (GO:1990923)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
radial spoke head 3 (GO:0120338)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
HULC complex (GO:0033503)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cortical microtubule plus-end (GO:1903754)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
radial spoke head 2 (GO:0120337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
spindle pole (GO:0000922)	185	0	.18	-	 < 0.01	1.00E00	1.00E00
radial spoke head 1 (GO:0120336)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle tethering complex (GO:0099023)	67	0	.07	-	 < 0.01	1.00E00	1.00E00
radial spoke 3 (GO:0120335)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
radial spoke 2 (GO:0120334)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
radial spoke 1 (GO:0120333)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum lumen (GO:0099020)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rixosome complex (GO:0120330)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
piccolo histone acetyltransferase complex (GO:0032777)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
non-canonical inflammasome complex (GO:0160074)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ooplasm (GO:1990917)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm head plasma membrane (GO:1990913)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
G-protein beta/gamma-subunit complex (GO:0031680)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle lumen (GO:0099013)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle membrane (GO:0099012)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex (GO:0071065)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-vitronectin complex (GO:0071062)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Holliday junction resolvase complex (GO:0048476)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Wnt signalosome (GO:1990909)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
multi-pass translocon complex (GO:0160064)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF complex (GO:1990907)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of mitochondrial inner membrane (GO:0031314)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
tetraspanin-enriched microdomain (GO:0097197)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet dense granule (GO:0042827)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endosome membrane (GO:0031313)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Shu complex (GO:0097196)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex (GO:1990904)	689	0	.67	-	 < 0.01	1.00E00	1.00E00
H zone (GO:0031673)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
TAP complex (GO:0042825)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class I peptide loading complex (GO:0042824)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histone mRNA stem-loop binding complex (GO:0062073)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
macropinosome membrane (GO:0160056)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor heterodimeric complex (GO:0038039)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-coagulation factor XI complex (GO:0097183)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor homodimeric complex (GO:0038038)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-coagulation factor Xa complex (GO:0097182)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
zona pellucida receptor complex (GO:0002199)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor dimeric complex (GO:0038037)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-coagulation factor V complex (GO:0097181)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
serine protease inhibitor complex (GO:0097180)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear speck (GO:0016607)	430	0	.42	-	 < 0.01	1.00E00	1.00E00
PML body (GO:0016605)	108	0	.10	-	 < 0.01	1.00E00	1.00E00
nuclear body (GO:0016604)	889	0	.86	-	 < 0.01	1.00E00	1.00E00
MAML1-RBP-Jkappa- ICN1 complex (GO:0002193)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CCAAT-binding factor complex (GO:0016602)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
flotillin complex (GO:0016600)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
kinociliary basal body (GO:1902636)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
FAR/SIN/STRIPAK complex (GO:0090443)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
TMEM240-body (GO:0160045)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protease inhibitor complex (GO:0097179)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
MSL complex (GO:0072487)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
ribose phosphate diphosphokinase complex (GO:0002189)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
AIM2 inflammasome complex (GO:0097169)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
basal cortex (GO:0045180)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear stress granule (GO:0097165)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	38	0	.04	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase complex (GO:0002178)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna (GO:0005797)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
manchette (GO:0002177)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi lumen (GO:0005796)	108	0	.10	-	 < 0.01	1.00E00	1.00E00
Golgi stack (GO:0005795)	152	0	.15	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum (GO:0005791)	59	0	.06	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum (GO:0005790)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor binding protein complex (GO:0016942)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
U2-type post-spliceosomal complex (GO:0071021)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-spliceosomal complex (GO:0071020)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
apical cortex (GO:0045179)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
intercellular bridge (GO:0045171)	98	0	.10	-	 < 0.01	1.00E00	1.00E00
muscle cell projection membrane (GO:0036195)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
muscle cell projection (GO:0036194)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
kinesin II complex (GO:0016939)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
signal peptidase complex (GO:0005787)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
kinesin I complex (GO:0016938)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
signal recognition particle receptor complex (GO:0005785)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Sec61 translocon complex (GO:0005784)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine-gated chloride channel complex (GO:0016935)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisomal matrix (GO:0005782)	51	0	.05	-	 < 0.01	1.00E00	1.00E00
post-mRNA release spliceosomal complex (GO:0071014)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
catalytic step 2 spliceosome (GO:0071013)	90	0	.09	-	 < 0.01	1.00E00	1.00E00
catalytic step 1 spliceosome (GO:0071012)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
precatalytic spliceosome (GO:0071011)	52	0	.05	-	 < 0.01	1.00E00	1.00E00
prespliceosome (GO:0071010)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoskeleton of presynaptic active zone (GO:0048788)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone membrane (GO:0048787)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone (GO:0048786)	81	0	.08	-	 < 0.01	1.00E00	1.00E00
perivitelline space (GO:0098595)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ferritin complex (GO:0070288)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mucin granule (GO:0098594)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of apical plasma membrane (GO:0098592)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
external side of apical plasma membrane (GO:0098591)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
centralspindlin complex (GO:0097149)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
early phagosome membrane (GO:0036186)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna (GO:0031985)	116	0	.11	-	 < 0.01	1.00E00	1.00E00
BAK complex (GO:0097145)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
BAX complex (GO:0097144)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle lumen (GO:0031983)	332	0	.32	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-2 complex (GO:0097141)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisomal membrane (GO:0005778)	66	0	.06	-	 < 0.01	1.00E00	1.00E00
BIM-BCL-xl complex (GO:0097140)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisome (GO:0005777)	149	0	.14	-	 < 0.01	1.00E00	1.00E00
autophagosome (GO:0005776)	122	0	.12	-	 < 0.01	1.00E00	1.00E00
ESC/E(Z) complex (GO:0035098)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase complex (GO:0035097)	72	0	.07	-	 < 0.01	1.00E00	1.00E00
HOPS complex (GO:0030897)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
checkpoint clamp complex (GO:0030896)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
U2-type post-mRNA release spliceosomal complex (GO:0071008)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
apolipoprotein B mRNA editing enzyme complex (GO:0030895)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 2 spliceosome (GO:0071007)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
U2-type catalytic step 1 spliceosome (GO:0071006)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
multivesicular body (GO:0005771)	68	0	.07	-	 < 0.01	1.00E00	1.00E00
small nuclear ribonucleoprotein complex (GO:0030532)	76	0	.07	-	 < 0.01	1.00E00	1.00E00
replisome (GO:0030894)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
U2-type precatalytic spliceosome (GO:0071005)	50	0	.05	-	 < 0.01	1.00E00	1.00E00
late endosome (GO:0005770)	331	0	.32	-	 < 0.01	1.00E00	1.00E00
meiotic cohesin complex (GO:0030893)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
U2-type prespliceosome (GO:0071004)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic cohesin complex (GO:0030892)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
VCB complex (GO:0030891)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
U4atac/U6atac snRNP (GO:0071002)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U4/U6 snRNP (GO:0071001)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RES complex (GO:0070274)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
spindle pole centrosome (GO:0031616)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
BAD-BCL-2 complex (GO:0097138)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Bcl-2 family protein complex (GO:0097136)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin E2-CDK2 complex (GO:0097135)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin E1-CDK2 complex (GO:0097134)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin D3-CDK6 complex (GO:0097133)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin D2-CDK6 complex (GO:0097132)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin D1-CDK6 complex (GO:0097131)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin D3-CDK4 complex (GO:0097130)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
secondary lysosome (GO:0005767)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
primary lysosome (GO:0005766)	154	0	.15	-	 < 0.01	1.00E00	1.00E00
granulocyte macrophage colony-stimulating factor receptor complex (GO:0030526)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic tRNA wobble base thiouridylase complex (GO:0002144)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial small ribosomal subunit (GO:0005763)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit (GO:0005762)	54	0	.05	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link complex (GO:0002142)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone complex (GO:0016914)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome (GO:0005761)	86	0	.08	-	 < 0.01	1.00E00	1.00E00
stereocilia ankle link (GO:0002141)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilia tip link (GO:0002140)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma DNA polymerase complex (GO:0005760)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase complex (GO:0030880)	118	0	.11	-	 < 0.01	1.00E00	1.00E00
inactive sex chromosome (GO:0098577)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lumenal side of membrane (GO:0098576)	47	0	.05	-	 < 0.01	1.00E00	1.00E00
lumenal side of lysosomal membrane (GO:0098575)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of lysosomal membrane (GO:0098574)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin D2-CDK4 complex (GO:0097129)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin D1-CDK4 complex (GO:0097128)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
multivesicular body, internal vesicle lumen (GO:0097489)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear membrane (GO:0031965)	328	0	.32	-	 < 0.01	1.00E00	1.00E00
multivesicular body, internal vesicle (GO:0097487)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin B1-CDK1 complex (GO:0097125)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
multivesicular body lumen (GO:0097486)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin A2-CDK2 complex (GO:0097124)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclin A1-CDK2 complex (GO:0097123)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic small ribosomal subunit (GO:0022627)	42	0	.04	-	 < 0.01	1.00E00	1.00E00
cyclin A2-CDK1 complex (GO:0097122)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic ribosome (GO:0022626)	119	0	.12	-	 < 0.01	1.00E00	1.00E00
stereocilia coupling link (GO:0002139)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin A1-CDK1 complex (GO:0097121)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic large ribosomal subunit (GO:0022625)	58	0	.06	-	 < 0.01	1.00E00	1.00E00
spectrin-associated cytoskeleton (GO:0014731)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome accessory complex (GO:0022624)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial permeability transition pore complex (GO:0005757)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted glutamate transport vesicle (GO:0060199)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-catenin destruction complex (GO:0030877)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted vesicle (GO:0060198)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
polycystin complex (GO:0002133)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleolar chromatin (GO:0030874)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Mre11 complex (GO:0030870)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
inward rectifier potassium channel complex (GO:1902937)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
intercellular canaliculus (GO:0046581)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pole plasm (GO:0045495)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of late endosome membrane (GO:0098560)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
pigment granule membrane (GO:0090741)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
outer dynein arm (GO:0036157)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
inner dynein arm (GO:0036156)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
mossy fiber rosette (GO:0097471)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ribbon synapse (GO:0097470)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum membrane (GO:0030868)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
m-AAA complex (GO:0005745)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum membrane (GO:0030867)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial inner membrane (GO:0005743)	506	0	.49	-	 < 0.01	1.00E00	1.00E00
MLL1 complex (GO:0071339)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
cell pole (GO:0060187)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane translocase complex (GO:0005742)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
cortical actin cytoskeleton (GO:0030864)	80	0	.08	-	 < 0.01	1.00E00	1.00E00
cortical cytoskeleton (GO:0030863)	111	0	.11	-	 < 0.01	1.00E00	1.00E00
interchromatin granule (GO:0035061)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
brahma complex (GO:0035060)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of early endosome membrane (GO:0098559)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
perinucleolar chromocenter (GO:0010370)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of rough endoplasmic reticulum membrane (GO:0098556)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
lumenal side of endoplasmic reticulum membrane (GO:0098553)	36	0	.03	-	 < 0.01	1.00E00	1.00E00
tenascin complex (GO:0090733)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cofilin-actin rod (GO:0090732)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pronucleus (GO:0045120)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
Las1 complex (GO:0090730)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Lewy neurite (GO:0097462)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I complex (GO:0005736)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor complex (GO:0002116)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
microspike (GO:0044393)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of endosome membrane (GO:0010009)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal subunit (GO:0044391)	186	0	.18	-	 < 0.01	1.00E00	1.00E00
chromocenter (GO:0010369)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA-containing ribonucleoprotein complex (GO:0005732)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization membrane (GO:0099634)	150	0	.15	-	 < 0.01	1.00E00	1.00E00
nucleolus organizer region (GO:0005731)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleolus (GO:0005730)	1059	0	1.03	-	 < 0.01	6.23E-01	1.00E00
stereocilium membrane (GO:0060171)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary membrane (GO:0060170)	80	0	.08	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of Golgi membrane (GO:0098548)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endocytic vesicle lumen (GO:0071682)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
pyruvate kinase complex (GO:1902912)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase complex (GO:1902911)	153	0	.15	-	 < 0.01	1.00E00	1.00E00
bub1-bub3 complex (GO:1990298)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
central region of growth cone (GO:0090724)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of trans-Golgi network transport vesicle membrane (GO:0098541)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intermediate filament cytoskeleton (GO:0045111)	254	0	.25	-	 < 0.01	1.00E00	1.00E00
