




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20580)	upload_1 (18)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
protein serine/threonine kinase activity (GO:0004674)	435	0	.38	-	 < 0.01	1.00E00	1.00E00
protein histidine kinase activity (GO:0004673)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase activity (GO:0004672)	572	0	.50	-	 < 0.01	1.00E00	1.00E00
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity (GO:0004671)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	34	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA 2'-phosphatase activity (GO:0160273)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA 2',3'-cyclic phosphatase activity (GO:0160272)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor (GO:0016623)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-arginine deiminase activity (GO:0004668)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin-D synthase activity (GO:0004667)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
prostaglandin-endoperoxide synthase activity (GO:0004666)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Rab geranylgeranyltransferase activity (GO:0004663)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase activity (GO:0004662)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein geranylgeranyltransferase activity (GO:0004661)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase activity (GO:0004660)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H1K26me2 reader activity (GO:0160268)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H1K26me1 reader activity (GO:0160267)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
chondroitin-glucuronate 5-epimerase activity (GO:0047757)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chondroitin 4-sulfotransferase activity (GO:0047756)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
O-fucosylpeptide 3-beta-glucosyltransferase activity (GO:0160265)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxypyruvate reductase [NAD(P)H] activity (GO:0016618)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H1N76/N77 asparagine deamidase activity (GO:0160264)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
4-oxoproline reductase activity (GO:0016617)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H1K75 acetyltransferase activity (GO:0160263)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	123	0	.11	-	 < 0.01	1.00E00	1.00E00
histone H1 acetyltransferase activity (GO:0160262)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA 5'-gamma-phosphate methyltransferase activity (GO:1990276)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase activity (GO:0016615)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H1 asparagine deamidase activity (GO:0160261)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
preribosome binding (GO:1990275)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	132	0	.12	-	 < 0.01	1.00E00	1.00E00
3-oxo-5-alpha-steroid 4-dehydrogenase (NADP+) activity (GO:0047751)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein asparagine deamidase activity (GO:0160260)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cholestenol delta-isomerase activity (GO:0047750)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
anti-Mullerian hormone receptor activity (GO:1990272)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
HLH domain binding (GO:0043398)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate proteoglycan binding (GO:0043395)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
proteoglycan binding (GO:0043394)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase (NADPH) activity (GO:0035798)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
prenyltransferase activity (GO:0004659)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
propionyl-CoA carboxylase activity (GO:0004658)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
proline dehydrogenase activity (GO:0004657)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase activity (GO:0004656)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
porphobilinogen synthase activity (GO:0004655)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyribonucleotide nucleotidyltransferase activity (GO:0004654)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-phosphatase activity (GO:0004651)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cholestanetetraol 26-dehydrogenase activity (GO:0047748)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholate-CoA ligase activity (GO:0047747)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II C-terminal domain phosphoserine binding (GO:1990269)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
growth hormone-releasing hormone activity (GO:0016608)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endopolyphosphatase activity (GO:0000298)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
chlordecone reductase activity (GO:0047743)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TRAIL binding (GO:0045569)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine nucleotide transmembrane transporter activity (GO:0000295)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
glutaminyl-peptide cyclotransferase activity (GO:0016603)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase activity (GO:0000293)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
poly(ADP-ribose) glycohydrolase activity (GO:0004649)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclic GMP-AMP synthase activity (GO:0140699)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylglycinamide formyltransferase activity (GO:0004644)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolecarboxamide formyltransferase activity (GO:0004643)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine synthase activity (GO:0004642)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
molecular condensate scaffold activity (GO:0140693)	52	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid omega-hydroxylase activity (GO:0140692)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA folding chaperone (GO:0140691)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(27)-N2)-dimethyltransferase activity (GO:0160248)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
autophagy cargo adaptor activity (GO:0160247)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH-iron-sulfur [2Fe-2S] protein oxidoreductase activity (GO:0160246)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2AQ104 methyltransferase activity (GO:1990259)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP-glycerol diphosphatase activity (GO:0047734)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
magnesium ion binding (GO:0000287)	236	0	.21	-	 < 0.01	1.00E00	1.00E00
cardiolipin dehydrogenase (NAD+) activity (GO:0160241)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
keratin filament binding (GO:1990254)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-phosphate 5-kinase activity (GO:0000285)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
carnosine synthase activity (GO:0047730)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
geranylgeranyl reductase activity (GO:0045550)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazole carboxylase activity (GO:0004638)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoribosylamine-glycine ligase activity (GO:0004637)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
stalled ribosome sensor activity (GO:0170011)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase activity (GO:0004634)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase activity (GO:0004633)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K9me2/H3K9me3 demethylase activity (GO:0140684)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphopantothenate--cysteine ligase activity (GO:0004632)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K9me/H3K9me2 demethylase activity (GO:0140683)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphomevalonate kinase activity (GO:0004631)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FAD-dependent H3K4me/H3K4me3 demethylase activity (GO:0140682)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase D activity (GO:0004630)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K36me2/H3K36me3 demethylase activity (GO:0140681)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3K36me/H3K36me2 demethylase activity (GO:0140680)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA strand annealing activity (GO:0033592)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA 5-taurinomethyluridine synthase activity (GO:0160236)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
iron-cytochrome-c reductase activity (GO:0047726)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N6-methyladenosine-containing RNA reader activity (GO:1990247)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
U6 snRNA (guanine-N(2))-methyltransferase activity (GO:0160230)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2AT120 kinase activity (GO:1990244)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific] activity (GO:0045547)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
syndecan binding (GO:0045545)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-organelle membrane tether activity (GO:0170009)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-lipid droplet tether activity (GO:0170007)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase C activity (GO:0004629)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activity (GO:0004623)	36	0	.03	-	 < 0.01	1.00E00	1.00E00
ATP-dependent histone chaperone activity (GO:0140674)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine lysophospholipase activity (GO:0004622)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol phospholipase D activity (GO:0004621)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase activity (GO:0004620)	110	0	.10	-	 < 0.01	1.00E00	1.00E00
bile acid-gated sodium channel activity (GO:0160228)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
indanol dehydrogenase activity (GO:0047718)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cohesin unloader activity (GO:0140670)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G-quadruplex unwinding activity (GO:0160225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid hormone binding (GO:1990239)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
3-demethoxyubiquinone 3-hydroxylase (NADH) activity (GO:0160224)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA endonuclease activity (GO:1990238)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galactolipase activity (GO:0047714)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisome targeting sequence binding (GO:0000268)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-triphosphatase activity (GO:0047710)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 21 binding (GO:0035758)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 19 binding (GO:0035757)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate mutase activity (GO:0004619)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate kinase activity (GO:0004618)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiolipin hydrolase activity (GO:0035755)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate dehydrogenase activity (GO:0004617)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphomannomutase activity (GO:0004615)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
annealing activity (GO:0140666)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoglucomutase activity (GO:0004614)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase (GTP) activity (GO:0004613)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP-dependent DNA damage sensor activity (GO:0140664)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
ATP-dependent FeS chaperone activity (GO:0140663)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase activity (GO:0004611)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP-dependent protein folding chaperone (GO:0140662)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoacetylglucosamine mutase activity (GO:0004610)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
biotinidase activity (GO:0047708)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein lysine delactylase activity (GO:0160216)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
deacylase activity (GO:0160215)	69	0	.06	-	 < 0.01	1.00E00	1.00E00
bile-salt sulfotransferase activity (GO:0047704)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine-gated cation channel activity (GO:0160212)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase binding (GO:1990226)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
C-4 methylsterol oxidase activity (GO:0000254)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity (GO:0000253)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
3-beta-hydroxysteroid dehydrogenase [NAD(P)+]/C4-decarboxylase activity (GO:0000252)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-27 receptor binding (GO:0045523)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lanosterol synthase activity (GO:0000250)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine decarboxylase activity (GO:0004609)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine N-methyltransferase activity (GO:0004608)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine-sterol O-acyltransferase activity (GO:0004607)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidate cytidylyltransferase activity (GO:0004605)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phenylethanolamine N-methyltransferase activity (GO:0004603)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione peroxidase activity (GO:0004602)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
peroxidase activity (GO:0004601)	49	0	.04	-	 < 0.01	1.00E00	1.00E00
folate reductase activity (GO:0033560)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrion-mitochondrion outer membrane tether activity (GO:0160204)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tag activity (GO:0031386)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
C-5 sterol desaturase activity (GO:0000248)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
C-8 sterol isomerase activity (GO:0000247)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-23 receptor binding (GO:0045519)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Delta24(24-1) sterol reductase activity (GO:0000246)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-22 receptor binding (GO:0045518)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-20 receptor binding (GO:0045517)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-18 receptor binding (GO:0045515)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-27 binding (GO:0045513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiolipin synthase (CMP-forming) (GO:0043337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein lysine deacetylase activity (GO:0033558)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
dinitrosyl-iron complex binding (GO:0035731)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-nitrosoglutathione binding (GO:0035730)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MAP kinase tyrosine phosphatase activity (GO:0033550)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-27 receptor activity (GO:0045509)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor 4G binding (GO:0031370)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dynein intermediate chain binding (GO:0045505)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
dynein heavy chain binding (GO:0045504)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
dynein light chain binding (GO:0045503)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid binding (GO:0035727)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
MAP kinase phosphatase activity (GO:0033549)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
translation initiation factor binding (GO:0031369)	34	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor binding (GO:0035718)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 7 binding (GO:0035717)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 12 binding (GO:0035716)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 2 binding (GO:0035715)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
delta-catenin binding (GO:0070097)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
opioid growth factor receptor activity (GO:0140625)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fructose-6-phosphate binding (GO:0070095)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA secondary structure binding (GO:0000217)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 2'-phosphotransferase activity (GO:0000215)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-intron lyase activity (GO:0000213)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ diphosphatase activity (GO:0000210)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
very-long-chain fatty acyl-CoA dehydrogenase activity (GO:0017099)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride-activated potassium channel activity (GO:0070089)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor binding (GO:0017098)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
iodotyrosine deiodinase activity (GO:0140616)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chromo shadow domain binding (GO:0070087)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylserotonin O-methyltransferase activity (GO:0017096)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heparan sulfate 6-sulfotransferase activity (GO:0017095)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
P-type manganese transporter activity (GO:0140613)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA damage sensor activity (GO:0140612)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
titin Z domain binding (GO:0070080)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activator activity (GO:0140608)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
glycolipid transfer activity (GO:0017089)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity (GO:0017083)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
chloride channel regulator activity (GO:0017081)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium channel regulator activity (GO:0017080)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidative phosphorylation uncoupler activity (GO:0017077)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
syntaxin-1 binding (GO:0017075)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
proline-rich region binding (GO:0070064)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase binding (GO:0070063)	60	0	.05	-	 < 0.01	1.00E00	1.00E00
fructose binding (GO:0070061)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
U6 snRNA binding (GO:0017070)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
hexitol dehydrogenase activity (GO:0031320)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carboxylic ester hydrolase activity (GO:0052689)	152	0	.13	-	 < 0.01	1.00E00	1.00E00
snRNA binding (GO:0017069)	47	0	.04	-	 < 0.01	1.00E00	1.00E00
single-strand selective uracil DNA N-glycosylase activity (GO:0017065)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid amide hydrolase activity (GO:0017064)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
thrombospondin receptor activity (GO:0070053)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen V binding (GO:0070052)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
S-methyl-5-thioadenosine phosphorylase activity (GO:0017061)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fibrinogen binding (GO:0070051)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity (GO:0017060)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
deaminase activity (GO:0019239)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclohydrolase activity (GO:0019238)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
centromeric DNA binding (GO:0019237)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
alkylthioltransferase activity (GO:0050497)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
6-phosphogluconolactonase activity (GO:0017057)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of nuclear pore (GO:0017056)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-N3-)-methyltransferase activity (GO:0070042)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-C5-)-methyltransferase activity (GO:0070041)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retinoic acid binding (GO:0001972)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
GTPase inhibitor activity (GO:0005095)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
Rho GDP-dissociation inhibitor activity (GO:0005094)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Rab GDP-dissociation inhibitor activity (GO:0005093)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-dissociation inhibitor activity (GO:0005092)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor adaptor activity (GO:0005091)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
intramolecular hydroxytransferase activity (GO:0050486)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amide transmembrane transporter activity (GO:0042887)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (guanosine-2'-O-)-methyltransferase activity (GO:0070039)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
activin binding (GO:0048185)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
imidazolonepropionase activity (GO:0050480)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (pseudouridine) methyltransferase activity (GO:0070037)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide hormone binding (GO:0017046)	52	0	.05	-	 < 0.01	1.00E00	1.00E00
corticotropin-releasing hormone activity (GO:0017045)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomerase RNA binding (GO:0070034)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosylceramidase activity (GO:0017042)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
D-glucuronate transmembrane transporter activity (GO:0042880)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acylsphingosine amidohydrolase activity (GO:0017040)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
fibronectin binding (GO:0001968)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
G-protein alpha-subunit binding (GO:0001965)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 5-phosphatase activity (GO:0052658)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
guanine phosphoribosyltransferase activity (GO:0052657)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-isoleucine-2-oxoglutarate transaminase activity (GO:0052656)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
